OBJECTID,SOBI_ID,NAME,ADDRESS,DESCRIPTION,HAS_KIOSK,RACKS_AMOUNT,NETWORK_ID,SOBI_AREA_ID,LONGITUDE,LATITUDE,LAST_IMPORT_DATE
96,802,Hess at king,"15 Hess Street North, Hamilton",,No,10,24,86,-79.8772117495537,43.2591258421211,2017-07-31
97,830,Rifle Range at Rail Trail,"64 Rifle Range Road, Hamilton",,No,10,24,86,-79.9298771288198,43.2554850097816,2017-07-31
98,866,Augusta at John,"62-64 Augusta Street, Hamilton",,No,10,24,86,-79.868980050087,43.2516323287804,2017-07-31
99,867,Queen at George,"34-54 Queen Street South, Hamilton",,No,5,24,86,-79.8792743682861,43.2582605017277,2017-07-31
100,869,Mary at Cannon - 00,"134-136 Cannon Street East, Hamilton",,No,10,24,86,-79.8618949949741,43.2594315406973,2017-07-31
101,894,Forsyth at Sterling,"96, Forsyth Avenue North, Westdale, Hamilton, Ontario",,No,20,24,86,-79.9157819151878,43.2630597628121,2017-07-31
102,903,Duke at James,"1-27 Duke Street, Hamilton",,No,10,24,86,-79.8713980615139,43.2517348921705,2017-07-31
103,904,King William at Hughson,"41 King William Street, Hamilton",,No,8,24,86,-79.867267459631,43.2571714836429,2017-07-31
104,905,Tisdale at Main No Frills,"9-23 Tisdale Street South, Hamilton",,No,10,24,86,-79.8530799150467,43.2519155987909,2017-07-31
105,921,Frid at Main,"44 Frid Street, Hamilton",,No,10,24,86,-79.8926237225533,43.2594051705931,2017-07-31
106,924,James at Guise,"2-30 Guise Street, Hamilton",,No,11,24,86,-79.8614859580994,43.2738435350677,2017-07-31
107,945,Stadium,"17A Cannon Street East, Hamilton",,No,15,24,86,-79.8312360048294,43.2515229275961,2017-07-31
108,959,West Harbour GO Station,"380 James Street North, Hamilton",,No,10,24,86,-79.8653939366341,43.2660305443776,2017-07-31
109,960,Pier 4,"50 Leander Drive, Hamilton",,No,20,24,86,-79.8668973147869,43.2726005152155,2017-07-31
110,1042,Van Wagners,"Waterfront Trail, Hamilton",,Yes,10,24,172,-79.7663875669241,43.2600077732807,2017-07-31
111,1063,Main and Wellington,"250 Main Street East, Hamilton",,No,6,24,86,-79.8600858449936,43.2528181468654,2017-07-31
112,1252,Cumberland at Blake ,"237-243 Cumberland Avenue, Hamilton",,No,6,24,86,-79.8405084013939,43.2433309556342,2017-07-31
113,1253,Main  at Eastbourne,"700 Main Street East, Hamilton",,No,10,24,86,-79.8420184850693,43.2481411619247,2017-07-31
114,1287,Cannon at Ottawa,"1182-1188 Cannon Street East, Hamilton",,No,10,24,86,-79.8180502653122,43.2475653052787,2017-07-31
115,1397,King at Mary,"151-163 Hamilton Regional Road 8, Hamilton",,No,6,24,86,-79.8643780499697,43.2551960624806,2017-07-31
116,1468,270 Sherman,"272 Sherman Avenue North, Hamilton",,No,8,24,86,-79.8343902826309,43.2603134676052,2017-07-31
117,2570,Athletic Centre Bike Racks ,"Stearn Drive, McMaster University, Hamilton",,No,5,24,86,-79.9157457053661,43.2647150978413,2017-07-31
118,2868,King Street Dundas,"6-8 Main Street, Hamilton",,No,10,24,86,-79.9537539482117,43.2659563254336,2017-07-31
119,2869,Cootes Drive Dundas,"11 Court Street, Hamilton",,No,5,24,86,-79.9476599693298,43.2654741914965,2017-07-31
120,2916,Sherman at Barton - ERI02,"141-147 Sherman Avenue North, Hamilton",,No,7,24,86,-79.8362443596125,43.2563506050538,2017-07-31
121,2917,Barton at Lottridge - ERI03,"779-781 Barton Street East, Hamilton",,No,7,24,86,-79.8314452171326,43.2552894386678,2017-07-31
122,2918,Barton and Belview - ERI05,"954 Barton Street East, Hamilton",,No,7,24,86,-79.8221721500158,43.2529105009964,2017-07-31
123,2919,Barton at Ottawa - ERI06,"437-443 Ottawa Street North, Hamilton",,No,7,24,86,-79.8160211741924,43.2514780437277,2017-07-31
124,2920,Ottawa at Dunsmure - ERI07,"52 Ottawa Street North, Hamilton",,No,7,24,86,-79.8190721869469,43.24398549431,2017-07-31
125,2921,Maple at Rothsay - ERI08,"394 Maple Avenue, Hamilton",,No,7,24,86,-79.8250025510788,43.2421627333438,2017-07-31
126,2922,King at Dunsmure - ERI09,"304 Dunsmure Road, Hamilton",,No,7,24,86,-79.8268599808216,43.246343826465,2017-07-31
127,2923,Dunsmure at Sherman - ERI10,"44 Dunsmure Road, Hamilton",,No,7,24,86,-79.8388883471489,43.2494327410807,2017-07-31
128,2924,Gage at Cannon - ERI11,"75-77 Gage Avenue North, Hamilton",,No,7,24,86,-79.8274084925652,43.2511264442989,2017-07-31
129,2925,Belview at Cannon - ERI12,"135 Belview Avenue, Hamilton",,No,7,24,86,-79.8235702514648,43.2492675588381,2017-07-31
130,2926,Westinghouse at Barton - ERI13,"9 Westinghouse Avenue, Hamilton",,No,7,24,86,-79.8424060642719,43.2583192006676,2017-07-31
